TW,BARRIO,Lat,Lon,Dia_sem,Mes,Dia,Hora
2017-07-20 08:00:00,sandiego,6.2339850789868345,-75.57014566303197,JUEVES,7,20,8
2017-06-15 16:00:00,lasacacias,6.238844346762176,-75.60027956832556,JUEVES,6,15,16
2017-07-02 16:00:00,lopezdemesa,6.2850743488050815,-75.58430614199011,DOMINGO,7,2,16
2017-03-29 18:00:00,losconquistadores,6.239497038636366,-75.58306243803818,MIERCOLES,3,29,18
2017-07-26 20:00:00,cuartabrigada,6.260462682322415,-75.59019286493181,MIERCOLES,7,26,20
2017-04-12 11:00:00,villacarlota,6.224148792701688,-75.57511286886594,MIERCOLES,4,12,11
2017-06-03 16:00:00,kennedy,6.2895253954287185,-75.58256895775001,SABADO,6,3,16
2017-04-20 17:00:00,villanueva,6.254674674584777,-75.5639593505797,JUEVES,4,20,17
2017-06-29 15:00:00,eldanubio,6.252683102418128,-75.60805081622611,JUEVES,6,29,15
2017-06-23 07:00:00,laaguacatala,6.1949834788784255,-75.58013064657916,VIERNES,6,23,7
2017-05-10 12:00:00,lasgranjas,6.278384608779487,-75.54623897520679,MIERCOLES,5,10,12
2017-07-08 22:00:00,barriocolon,6.240126543537708,-75.5700139152738,SABADO,7,8,22
2017-07-06 15:00:00,fatima,6.236186248279703,-75.58746068098802,JUEVES,7,6,15
2017-06-24 07:00:00,jesusnazareno,6.25862054084402,-75.5704185705639,SABADO,6,24,7
2017-05-16 06:00:00,bombonano1,6.2429910403232824,-75.56367172071482,MARTES,5,16,6
2017-05-30 11:00:00,universidadnacional,6.261268083795612,-75.57398444934128,MARTES,5,30,11
2017-07-08 18:00:00,manila,6.213677283318125,-75.57619463836652,SABADO,7,8,18
2017-07-04 12:00:00,bolivariana,6.247150666731616,-75.59044645062275,MARTES,7,4,12
2017-07-21 15:00:00,lamota,6.209440948631153,-75.60144249289246,VIERNES,7,21,15
2017-05-10 18:00:00,bolivariana,6.241016288926362,-75.59158762608534,MIERCOLES,5,10,18
2017-06-25 00:00:00,sanmiguel,6.25490183314658,-75.55932666400795,DOMINGO,6,25,0
2017-05-13 19:00:00,villacarlota,6.2257230119324145,-75.57500955089812,SABADO,5,13,19
2017-07-14 15:00:00,laaguacatala,6.1949834788784255,-75.58013064657916,VIERNES,7,14,15
2017-05-25 06:00:00,perpetuosocorro,6.235594599344774,-75.57356301594186,JUEVES,5,25,6
2017-06-12 15:00:00,universidaddeantioquia,6.2647852480914175,-75.56936628271646,LUNES,6,12,15
2017-05-10 07:00:00,villahermosa,6.259343674740616,-75.55304852352123,MIERCOLES,5,10,7
2017-07-07 19:00:00,belen,6.231071135922628,-75.60574039747864,VIERNES,7,7,19
2017-04-24 07:00:00,prado,6.260525035387933,-75.56456781709342,LUNES,4,24,7
2017-06-23 13:00:00,toscana,6.305824171239989,-75.55812090109771,VIERNES,6,23,13
2017-04-04 12:00:00,robledo,6.277893684829213,-75.59863559531347,MARTES,4,4,12
2017-07-13 13:00:00,sandiego,6.23607686999949,-75.5694119319063,JUEVES,7,13,13
2017-04-13 22:00:00,picacho,6.302896078691923,-75.58235129838398,JUEVES,4,13,22
2017-07-14 08:00:00,prado,6.260801643067196,-75.55918222948085,VIERNES,7,14,8
2017-05-06 10:00:00,altosdelpoblado,6.208011105184388,-75.55494773448272,SABADO,5,6,10
2017-04-12 01:00:00,sandiego,6.234524071423587,-75.57019083891272,MIERCOLES,4,12,1
2017-05-19 18:00:00,sandiego,6.238345041003718,-75.56847510814424,VIERNES,5,19,18
2017-06-03 15:00:00,lasbrisas,6.30833998358782,-75.56113615321952,SABADO,6,3,15
2017-07-06 16:00:00,elrincon,6.210673755824097,-75.60330415147784,JUEVES,7,6,16
2017-05-25 12:00:00,manriquecentralno2,6.26315301668466,-75.55548461587578,JUEVES,5,25,12
2017-05-23 19:00:00,alejandroechavarria,6.238752711853817,-75.54872821148645,MARTES,5,23,19
2017-07-19 06:00:00,universidaddeantioquia,6.265110048500303,-75.57160253639988,MIERCOLES,7,19,6
2017-06-13 16:00:00,sangerman,6.2703556438878225,-75.59251436038481,MARTES,6,13,16
2017-04-08 19:00:00,castilla,6.290406028563621,-75.56993471672219,SABADO,4,8,19
2017-04-16 19:00:00,belalcazar,6.296737362211761,-75.56684745940811,DOMINGO,4,16,19
2017-07-22 14:00:00,sanbenito,6.249692619326147,-75.57081011633613,SABADO,7,22,14
2017-04-26 07:00:00,plazadeferias,6.298596266608236,-75.56587229675068,MIERCOLES,4,26,7
2017-04-11 07:00:00,guayaquil,6.247001204118576,-75.57517013741722,MARTES,4,11,7
2017-05-22 06:00:00,berlin,6.284287231192652,-75.5527201725767,LUNES,5,22,6
2017-04-17 15:00:00,perpetuosocorro,6.237829667131719,-75.5740303897323,LUNES,4,17,15
2017-05-16 19:00:00,moravia,6.275783705259043,-75.56927169175155,MARTES,5,16,19
2017-06-27 07:00:00,sanisidro,6.285922745500669,-75.55783140667523,MARTES,6,27,7
2017-06-14 14:00:00,sangerman,6.26798575660062,-75.58921016409106,MIERCOLES,6,14,14
2017-07-19 09:00:00,carloserestrepo,6.254399602121617,-75.57757579272256,MIERCOLES,7,19,9
2017-05-16 19:00:00,losangeles,6.253856499629469,-75.56116391751203,MARTES,5,16,19
2017-07-06 14:00:00,campoamor,6.216869915199468,-75.58550611607302,JUEVES,7,6,14
