TW,BARRIO,Lat,Lon,Dia_sem,Mes,Dia,Hora
2018-01-13 16:00:00,moravia,6.2757837,-75.56927169,SABADO,1,13,16
2018-01-13 16:00:00,estacionvilla,6.2570492,-75.5717366,SABADO,1,13,16
2018-01-13 16:00:00,fuenteclara,6.27641673,-75.60523788,SABADO,1,13,16
2018-01-13 16:00:00,rosales,6.23227865,-75.59214016,SABADO,1,13,16
2018-01-13 16:00:00,eldiamante,6.28433232,-75.58848189,SABADO,1,13,16
2018-01-13 16:00:00,pedregal,6.30148727,-75.57226935,SABADO,1,13,16
2018-01-13 17:00:00,lopezdemesa,6.28575256,-75.58441594,SABADO,1,13,17
2018-01-13 17:00:00,jesusnazareno,6.25785764,-75.56649569,SABADO,1,13,17
2018-01-13 17:00:00,sanisidro,6.28613949,-75.56211995,SABADO,1,13,17
2018-01-13 17:00:00,cucaracho,6.28258363,-75.60354575,SABADO,1,13,17
2018-01-13 17:00:00,lasacacias,6.24340455,-75.60270512,SABADO,1,13,17
2018-01-13 18:00:00,perpetuosocorro,6.2367764,-75.57125129,SABADO,1,13,18
2018-01-15 06:00:00,callenueva,6.24000098,-75.57547337,LUNES,1,15,6
2018-01-15 06:00:00,sanjavierno2,6.25713721,-75.61467834,LUNES,1,15,6
2018-01-15 06:00:00,fatima,6.23241999,-75.58734389,LUNES,1,15,6
2018-01-15 07:00:00,carloserestrepo,6.25560245,-75.5768864,LUNES,1,15,7
2018-01-15 07:00:00,sevilla,6.26432077,-75.56639588,LUNES,1,15,7
2018-01-15 07:00:00,terminaldetransporte,6.27608112,-75.57061626,LUNES,1,15,7
2018-01-15 07:00:00,cristorey,6.201179,-75.58020138,LUNES,1,15,7
2018-01-15 07:00:00,elchagualo,6.25826957,-75.57181765,LUNES,1,15,7
2018-01-15 08:00:00,cordoba,6.27855386,-75.57679278,LUNES,1,15,8
2018-01-15 08:00:00,rosales,6.23610748,-75.58995365,LUNES,1,15,8
2018-01-15 08:00:00,villaguadalupe,6.28659193,-75.54984049,LUNES,1,15,8
2018-01-15 08:00:00,villanueva,6.25510907,-75.56290557,LUNES,1,15,8
