BARRIO,Hora_0,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23
CuartaBrigada,2.0,0.0,1.0,0.0,0.0,8.0,22.0,21.0,19.0,10.0,19.0,13.0,21.0,17.0,20.0,15.0,16.0,22.0,15.0,14.0,9.0,8.0,3.0,1.0
Cucaracho,1.0,5.0,2.0,1.0,1.0,2.0,12.0,12.0,4.0,7.0,2.0,7.0,8.0,7.0,10.0,6.0,9.0,12.0,11.0,7.0,18.0,7.0,7.0,5.0
DiegoEchavarria,0.0,1.0,0.0,0.0,0.0,3.0,6.0,10.0,10.0,3.0,6.0,7.0,7.0,3.0,6.0,8.0,5.0,6.0,4.0,4.0,1.0,9.0,4.0,0.0
DocedeOctubreNo1,0.0,1.0,2.0,1.0,1.0,4.0,4.0,6.0,1.0,2.0,6.0,4.0,3.0,5.0,8.0,4.0,9.0,7.0,3.0,8.0,2.0,5.0,8.0,1.0
DocedeOctubreNo2,1.0,0.0,2.0,0.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,6.0,9.0,5.0,7.0,7.0,6.0,5.0,10.0,8.0,8.0,7.0,3.0,0.0
EduardoSantos,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
ElCastillo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,6.0,5.0,5.0,9.0,4.0,1.0,2.0,2.0,0.0,0.0
ElChagualo,3.0,3.0,3.0,1.0,4.0,9.0,16.0,25.0,20.0,21.0,19.0,22.0,24.0,27.0,21.0,26.0,26.0,20.0,34.0,18.0,9.0,8.0,11.0,2.0
ElCompromiso,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0
ElCorazon,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
ElCorazonElMorro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ElDanubio,0.0,2.0,0.0,0.0,1.0,4.0,9.0,8.0,6.0,4.0,5.0,3.0,10.0,5.0,6.0,5.0,2.0,3.0,4.0,5.0,8.0,8.0,3.0,0.0
ElDiamante,1.0,5.0,3.0,2.0,2.0,12.0,11.0,16.0,9.0,8.0,6.0,8.0,12.0,16.0,11.0,8.0,12.0,13.0,16.0,10.0,8.0,11.0,4.0,3.0
ElDiamanteNo2,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,5.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0
ElEstadio,5.0,0.0,2.0,0.0,2.0,5.0,15.0,16.0,9.0,7.0,7.0,18.0,7.0,14.0,15.0,16.0,13.0,21.0,14.0,15.0,12.0,10.0,14.0,3.0
ElNogal-LosAlmendros,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,6.0,4.0,6.0,4.0,6.0,4.0,9.0,5.0,8.0,5.0,5.0,5.0,5.0,7.0,3.0
ElPesebre,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,4.0,4.0,2.0,3.0,0.0,3.0,4.0,4.0,2.0,5.0,0.0,3.0,1.0,0.0
ElPicacho,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ElPinal,0.0,0.0,2.0,0.0,0.0,0.0,3.0,6.0,5.0,2.0,6.0,9.0,6.0,10.0,8.0,6.0,6.0,7.0,7.0,9.0,4.0,6.0,4.0,1.0
ElPoblado,4.0,1.0,7.0,2.0,4.0,5.0,7.0,10.0,13.0,12.0,13.0,20.0,27.0,22.0,24.0,21.0,22.0,28.0,9.0,11.0,12.0,13.0,8.0,7.0
ElPomar,2.0,2.0,1.0,1.0,1.0,1.0,6.0,0.0,3.0,1.0,0.0,3.0,5.0,0.0,4.0,4.0,5.0,7.0,5.0,1.0,3.0,0.0,5.0,4.0
ElProgreso,3.0,0.0,0.0,1.0,4.0,13.0,20.0,16.0,28.0,15.0,20.0,13.0,21.0,18.0,28.0,17.0,29.0,30.0,29.0,23.0,20.0,18.0,6.0,6.0
ElProgresoNo2,1.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0
ElRaizal,1.0,1.0,1.0,0.0,0.0,1.0,4.0,6.0,1.0,3.0,4.0,6.0,11.0,5.0,9.0,0.0,7.0,6.0,2.0,6.0,2.0,5.0,2.0,3.0
ElRincon,2.0,2.0,1.0,2.0,1.0,2.0,9.0,11.0,9.0,12.0,11.0,18.0,10.0,14.0,12.0,12.0,8.0,12.0,14.0,13.0,9.0,9.0,4.0,3.0
ElRodeo,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0
ElSalado,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0
ElSalvador,1.0,0.0,1.0,1.0,3.0,5.0,5.0,6.0,5.0,3.0,3.0,7.0,7.0,8.0,5.0,5.0,11.0,9.0,10.0,4.0,5.0,3.0,7.0,0.0
ElSocorro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ElTesoro,1.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,7.0,5.0,9.0,6.0,12.0,5.0,8.0,10.0,14.0,10.0,10.0,5.0,5.0,6.0,1.0,2.0
ElTriunfo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ElVelodromo,0.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,11.0,8.0,12.0,7.0,15.0,10.0,10.0,13.0,11.0,8.0,6.0,1.0,6.0,6.0,6.0,0.0
ElVergel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enciso,0.0,1.0,1.0,2.0,4.0,2.0,4.0,9.0,3.0,3.0,5.0,6.0,5.0,14.0,6.0,3.0,4.0,9.0,9.0,8.0,7.0,8.0,2.0,4.0
EstacionVilla,3.0,2.0,3.0,0.0,4.0,3.0,6.0,12.0,17.0,14.0,13.0,19.0,20.0,19.0,16.0,20.0,13.0,21.0,19.0,14.0,11.0,5.0,2.0,1.0
FacultadVeterinariayZootecniaUdeA,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0
FacultaddeMinasUNacional,3.0,1.0,1.0,1.0,2.0,11.0,14.0,16.0,13.0,6.0,14.0,7.0,9.0,12.0,8.0,16.0,21.0,15.0,17.0,11.0,9.0,7.0,6.0,2.0
Fatima,0.0,2.0,1.0,0.0,1.0,4.0,16.0,13.0,9.0,13.0,11.0,15.0,19.0,10.0,15.0,12.0,13.0,15.0,17.0,12.0,9.0,6.0,5.0,4.0
Ferrini,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,1.0,4.0,1.0,1.0,2.0,5.0,4.0,2.0,2.0,6.0,2.0,2.0,1.0,0.0
Florencia,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,1.0,5.0,1.0,6.0,5.0,3.0,9.0,1.0,4.0,4.0,2.0,7.0,5.0,5.0,8.0,2.0
FloridaNueva,1.0,2.0,3.0,0.0,1.0,4.0,6.0,12.0,9.0,10.0,7.0,8.0,13.0,13.0,13.0,12.0,9.0,11.0,10.0,9.0,4.0,7.0,5.0,3.0
FranciscoAntonioZea,1.0,1.0,2.0,1.0,0.0,4.0,7.0,9.0,7.0,4.0,2.0,1.0,8.0,5.0,6.0,9.0,5.0,11.0,11.0,8.0,6.0,5.0,8.0,2.0
FuenteClara,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0
Gerona,0.0,0.0,0.0,2.0,0.0,2.0,6.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,6.0,4.0,8.0,4.0,6.0,1.0,1.0
Girardot,1.0,1.0,0.0,0.0,0.0,8.0,20.0,16.0,10.0,4.0,9.0,12.0,10.0,10.0,13.0,7.0,8.0,10.0,15.0,11.0,9.0,11.0,10.0,4.0
Granada,1.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,5.0,4.0,9.0,4.0,6.0,7.0,8.0,2.0,10.0,7.0,6.0,7.0,5.0,0.0,0.0,1.0
Granizal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,2.0,8.0,2.0,5.0,7.0,3.0,6.0,1.0,8.0,6.0,1.0,1.0,0.0
Guayabal,3.0,2.0,8.0,1.0,5.0,17.0,41.0,42.0,26.0,23.0,34.0,27.0,27.0,36.0,39.0,39.0,47.0,52.0,35.0,12.0,21.0,18.0,10.0,8.0
Guayaquil,3.0,0.0,6.0,2.0,3.0,16.0,40.0,39.0,26.0,43.0,46.0,32.0,59.0,38.0,34.0,43.0,42.0,50.0,32.0,14.0,8.0,11.0,6.0,4.0
HectorAbadGomez,1.0,1.0,0.0,0.0,2.0,13.0,13.0,17.0,12.0,9.0,8.0,12.0,7.0,10.0,12.0,16.0,13.0,8.0,16.0,9.0,6.0,8.0,7.0,3.0
HospitalSanVicentedePaul,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Inst,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,6.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0
JardinBotanico,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,4.0,5.0,0.0,3.0,6.0,2.0,5.0,4.0,1.0,0.0,3.0,1.0,0.0
JesusNazareno,3.0,0.0,3.0,2.0,2.0,7.0,12.0,32.0,26.0,22.0,14.0,25.0,25.0,25.0,27.0,30.0,33.0,30.0,27.0,12.0,13.0,12.0,10.0,7.0
JuanPabloII,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
JuanXXIIILaQuiebra,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,4.0,0.0,1.0,2.0,5.0,2.0,4.0,1.0,0.0,2.0
Kennedy,2.0,2.0,0.0,0.0,2.0,5.0,8.0,10.0,6.0,2.0,6.0,9.0,9.0,10.0,15.0,8.0,13.0,13.0,16.0,18.0,11.0,11.0,4.0,5.0
LaAguacatala,2.0,1.0,4.0,3.0,2.0,8.0,21.0,34.0,25.0,25.0,23.0,23.0,30.0,26.0,35.0,33.0,33.0,41.0,38.0,27.0,20.0,19.0,17.0,3.0
LaAlpujarra,0.0,2.0,2.0,0.0,4.0,7.0,13.0,18.0,19.0,23.0,24.0,26.0,38.0,33.0,26.0,23.0,37.0,25.0,31.0,23.0,9.0,10.0,8.0,2.0
LaAmerica,0.0,0.0,4.0,0.0,2.0,14.0,14.0,15.0,12.0,15.0,14.0,15.0,13.0,18.0,13.0,21.0,14.0,9.0,13.0,14.0,10.0,7.0,6.0,2.0
LaAvanzada,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0
LaCandelaria,3.0,1.0,3.0,6.0,5.0,14.0,45.0,41.0,48.0,36.0,64.0,62.0,80.0,53.0,67.0,65.0,76.0,77.0,65.0,49.0,27.0,35.0,12.0,10.0
LaCastellana,1.0,0.0,1.0,1.0,1.0,0.0,5.0,15.0,8.0,5.0,4.0,6.0,6.0,21.0,9.0,9.0,8.0,13.0,3.0,16.0,4.0,1.0,3.0,3.0
LaColina,2.0,0.0,0.0,1.0,0.0,1.0,6.0,5.0,6.0,4.0,7.0,10.0,3.0,5.0,7.0,3.0,3.0,10.0,12.0,6.0,13.0,4.0,7.0,2.0
LaCruz,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
