BARRIO,Lon,Lat
aguasfrias,-75.62211568999999,6.234485002857142
aldeapablovi,-75.54225981350001,6.288645841500001
alejandria,-75.5708286966666,6.201678364728693
alejandroechavarria,-75.54652467213016,6.237339819704135
alfonsolopez,-75.57479547311821,6.283765383010748
altamira,-75.58194574403362,6.279539518571424
altavista,-75.60691450037734,6.224452205849058
altavistasectorcentral,-75.62086898363636,6.2220120172727285
altosdelpoblado,-75.55281700023811,6.2096999859523825
andalucia,-75.55588127372094,6.298483190000002
antonionariño,-75.62141936206898,6.257385674827585
aranjuez,-75.56131728119404,6.280746345373133
areadeexpansionaltavista,-75.6127241,6.22238356
areadeexpansionaltosdecalasanz,-75.60587793916666,6.270117574166665
areadeexpansionbelenrincon,-75.60811249,6.21584616
areadeexpansionpajarito,-75.61487048430655,6.282405329854013
areadeexpansionsanantoniodeprado,-75.65439657666666,6.180688710666666
asomaderano1,-75.56419394614171,6.228444471338579
asomaderano2,-75.56212808355772,6.216498010000005
asomaderano3,-75.55892096687501,6.217052123124999
astorga,-75.57289437196427,6.209352245535716
auresno1,-75.593824790099,6.286078963168317
auresno2,-75.59166162299998,6.287613817692309
barriocaicedo,-75.5539349049677,6.242316719935487
barriocolombia,-75.57401618314411,6.22707193353711
barriocolon,-75.568874917992,6.242720400040158
barriocristobal,-75.60957335785713,6.248151541071429
barriodejesus,-75.53660872596774,6.230635297258065
barriosdejesus,-75.53226176,6.2276837
batallongirardot,-75.54687591,6.260443485
bcerroelvolador,-75.58328154076918,6.26205288897436
belalcazar,-75.56585146370689,6.296321843448274
belen,-75.59996448307696,6.231792837010985
belencito,-75.618318086875,6.247125408125001
bellohorizonte,-75.58995605016666,6.282497820166666
berlin,-75.55561099263511,6.284841046891896
bermejal-losalamos,-75.565198058125,6.281343771249998
betania,-75.62104023736842,6.244486797894735
blanquizal,-75.60490921052629,6.275025988947369
bolivariana,-75.59023262273747,6.245714577541899
bombonano1,-75.56268135235287,6.2432009604901975
bombonano2,-75.54478790156251,6.228713697968753
bosquesdesanpablo,-75.58098969000002,6.275094247704917
boston,-75.55931024788732,6.247582194741777
boyaca,-75.56569957763517,6.3034592381756775
brasilia,-75.55941883919999,6.273621060900001
buenosaires,-75.55629198263799,6.239776769631907
bugapatiobonito,-75.63557961333333,6.221679346666666
cabecerasanantoniodeprado,-75.64579777186229,6.177210432751669
cabeceraurbanasancristobal,-75.63323353888892,6.278407514537038
calasanz,-75.59853706440794,6.262623224210528
calasanzpartealta,-75.60110993650002,6.2662948586250025
callenueva,-75.57419284003102,6.239891033074543
campoalegre,-75.61156103871556,6.253589604311923
campoamor,-75.58172450134245,6.213085036643275
campovaldesno1,-75.55635969380327,6.272866542222218
campovaldesno2,-75.55262969315146,6.272551294303026
caribe,-75.5743094645346,6.268800729742635
carloserestrepo,-75.5804502475642,6.256642242307692
carpinelo,-75.53925301157894,6.28754340263158
castilla,-75.57157059656508,6.289496557500012
castropol,-75.56842358784002,6.219482847599997
cataluña,-75.55172931764706,6.231529691176469
cementeriouniversal,-75.5736852153333,6.276618212000001
centroadministrativo,-75.57498465254909,6.242483151372548
cerronutibara,-75.57783539060237,6.234016234136542
corazondejesus,-75.5774897101134,6.249482495124717
cordoba,-75.57764168132744,6.279972703805309
cristorey,-75.58428835986346,6.205486476791819
cuartabrigada,-75.5880199108675,6.2603318116438365
cucaracho,-75.60264955552937,6.279780651294122
diegoechavarria,-75.59574901859155,6.213621758169016
docedeoctubreno1,-75.57934139205129,6.306529843162388
docedeoctubreno2,-75.58003077206895,6.300366767931035
eduardosantos,-75.62737709,6.258319743333334
elcastillo,-75.57402991309087,6.193195778181817
elchagualo,-75.57129861195054,6.260314444953562
elcompromiso,-75.54395340142855,6.287544294000001
elcorazon,-75.62540820473684,6.247008902631579
elcorazonelmorro,-75.63482862999999,6.24820167
eldanubio,-75.60846746712123,6.25230214439394
eldiamante,-75.58624319634833,6.2851191521348335
eldiamanteno2,-75.57535392129031,6.186769274193548
elestadio,-75.59582589326641,6.259862167638186
elnogal-losalmendros,-75.59502242679488,6.238099156282053
elpesebre,-75.5986006019149,6.272434191702126
elpicacho,-75.59052471999999,6.29462201
elpinal,-75.5460166258889,6.243054290333332
elplan,-75.51357958,6.20427951
